a52dec 0.7.4-8
aalib 1.4rc5-10
acl 2.2.52-2
acpid 2.0.23-4
adwaita-icon-theme 3.14.1-1
alsa-lib 1.0.28-1
alsa-plugins 1.0.28-2
apr 1.5.1-1
apr-util 1.5.4-1
archlinux-keyring 20141218-1
aspell 0.60.6.1-2
aspell-en 7.1-3
at-spi2-atk 2.14.1-1
at-spi2-core 2.14.1-1
atk 2.14.0-1
atkmm 2.22.7-1
attr 2.4.47-1
autoconf 2.69-2
automake 1.14.1-1
avahi 0.6.31-14
babl 0.1.10-2
bash 4.3.030-1
binutils 2.25-1
bison 3.0.2-1
blas 3.5.0-1
blender 15:2.72b-2
bluez-libs 5.27-1
boost-libs 1.57.0-2
bzip2 1.0.6-5
bzr 2.6.0-1
ca-certificates 20140923-9
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.17.3-2
ca-certificates-utils 20140923-9
cabextract 1.4-3
cairo-infinality-ultimate 1.14.0-2
cairomm 1.10.0-3
cdrkit 1.1.11-3
chromium 39.0.2171.95-1
cifs-utils 6.3-2
codeblocks 13.12-2
colord 1.2.7-2
compositeproto 0.4.2-3
compton 0.1_beta2-4
compton-conf 0.1.0-1
conky 1.9.0-4
coreutils 8.23-1
cracklib 2.9.1-1
cryptsetup 1.6.6-1
curl 7.39.0-1
curlftpfs 0.9.2-5
damageproto 1.2.1-3
darktable 1.6.1-3
db 5.3.28-2
dbus 1.8.12-1
dbus-glib 0.102-2
dconf 0.22.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.114-1
dhcpcd 6.6.7-1
dialog 1:1.2_20140911-1
diffutils 3.3-2
ditaa 0.9-2
djvulibre 3.5.25.3-2
dmxproto 2.3.1-3
dnssec-anchors 20140629-1
dosfstools 3.0.27-1
dotconf 1.3-4
e2fsprogs 1.42.12-1
elfutils 0.160-1
enca 1.16-1
enchant 1.6.0-5
evince 3.14.1-2
exiv2 0.24-1
expat 2.1.0-4
faad2 2.7-4
fakeroot 1.20.2-1
feh 2.12-1
ffmpeg 1:2.5.2-2
fftw 3.3.4-1
file 5.21-3
filesystem 2014.10-3
findutils 4.4.2-6
firefox 34.0.5-1
fixesproto 5.0-3
flac 1.3.1-1
flex 2.5.39-1
flickcurl 1.26-1
fontconfig-infinality-ultimate 2.11.1-24
fontsproto 2.1.3-1
freetype2-infinality-ultimate 2.5.5-1
fribidi 0.19.6-2
fuse 2.9.3-2
gamin 0.1.10-8
gawk 4.1.1-1
gc 7.4.2-2
gcc 4.9.2-2
gcc-libs 4.9.2-2
gconf 3.2.6-3
gconfmm 2.28.3-2
gd 2.1.0-3
gdbm 1.11-1
gdk-pixbuf2 2.31.1-1
gegl 0.2.0-13
geoclue2 2.1.10-1
gettext 0.19.3-1
ghostscript 9.15-1
giblib 1.2.4-6
giflib 5.1.0-1
gimp 2.8.14-1
git 2.2.1-1
gksu 2.0.2-5
glew 1.11.0-1
glib-networking 2.42.0-1
glib2 2.42.1-1
glibc 2.20-6
glibmm 2.42.0-1
glu 9.0.0-3
gmp 6.0.0-1
gnome-desktop 1:3.14.2-1
gnome-icon-theme 3.12.0-2
gnome-icon-theme-symbolic 3.12.0-2
gnupg 2.1.1-1
gnuplot 4.6.6-1
gnutls 3.3.11-1
gobject-introspection 1.42.0-1
gpgme 1.5.3-1
gpm 1.20.7-4
gpsbabel 1.5.1-2
gpsd 3.11-3
gptfdisk 0.8.10-1
graphite 1:1.2.4-1
graphviz 2.38.0-3
grep 2.21-1
groff 1.22.3-2
gsettings-desktop-schemas 3.14.1-1
gsfonts 20130917-1
gsl 1.16-1
gsm 1.0.13-8
gst-plugins-base-libs 1.4.5-1
gst-plugins-good 1.4.5-1
gstreamer 1.4.5-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gtk-engines 2.21.0-2
gtk-update-icon-cache 2.24.25-1
gtk2 2.24.25-1
gtk3 3.14.6-1
gtkmm 2.24.4-1
gtkmm3 3.14.0-1
gtksourceview3 3.14.2-1
gtkspell 2.0.16-3
gts 0.7.6-3
guile 2.0.11-2
guile1.8 1.8.8-3
gvim 7.4.537-1
gzip 1.6-1
harfbuzz 0.9.37-1
harfbuzz-icu 0.9.37-1
hicolor-icon-theme 0.13-1
hspell 1.2-2
htop 1.0.3-2
hunspell 1.3.3-1
hwids 20141214-1
hwinfo 21.10.1.1-1
iana-etc 2.30-4
ibfonts-meta-base 1-6
icu 54.1-1
ifplugd 0.28-14
ilmbase 2.1.0-1
imagemagick 6.9.0.2-1
imlib2 1.4.6-3
inetutils 1.9.2-2
inkscape 0.48.5-4
inputproto 2.3.1-1
intel-tbb 4.3_20141023-1
intltool 0.50.2-2
iproute2 3.17.0-1
iptables 1.4.21-1
iputils 20121221-3
